================================================================================
      EB-15 HIGH-FIDELITY MECHATRONIC WEBOTS SIMULATOR CONTROLLER
================================================================================
[Init] Robot Base Homed: Joints: [0.0, 90.0, 0.0, 0.0, 0.0, 0.0] deg
[Init] Robot TCP Position: X=400.00, Y=-80.00, Z=150.00 mm
[RTDE Server] TCP telemetry listening on Port 5000...
[HTTP Server] Dashboard serving on http://localhost:8080/ ...
[DEBUG J2] desired_DH=90.00, real_DH=90.00, speed_cmd=0.00
[DEBUG J2] desired_DH=90.00, real_DH=90.00, speed_cmd=0.00
[DEBUG J2] desired_DH=90.00, real_DH=90.00, speed_cmd=0.00
[DEBUG J2] desired_DH=90.00, real_DH=90.00, speed_cmd=0.00
[DEBUG J2] desired_DH=90.00, real_DH=90.00, speed_cmd=0.00
[DEBUG J2] desired_DH=90.00, real_DH=90.00, speed_cmd=0.00
[DEBUG J2] desired_DH=90.00, real_DH=90.00, speed_cmd=0.00
[DEBUG J2] desired_DH=90.00, real_DH=90.00, speed_cmd=0.00
[DEBUG J2] desired_DH=90.00, real_DH=90.00, speed_cmd=0.00
[DEBUG J2] desired_DH=90.00, real_DH=90.00, speed_cmd=0.00
[DEBUG J2] desired_DH=90.00, real_DH=90.00, speed_cmd=0.00
[DEBUG J2] desired_DH=90.00, real_DH=90.00, speed_cmd=0.00
[DEBUG J2] desired_DH=90.00, real_DH=90.00, speed_cmd=0.00
[DEBUG J2] desired_DH=90.00, real_DH=90.00, speed_cmd=0.00
[DEBUG J2] desired_DH=90.00, real_DH=90.00, speed_cmd=0.00
[DEBUG J2] desired_DH=90.00, real_DH=90.00, speed_cmd=0.00
[DEBUG J2] desired_DH=90.00, real_DH=90.00, speed_cmd=0.00
[DEBUG J2] desired_DH=90.00, real_DH=90.00, speed_cmd=0.00
[DEBUG J2] desired_DH=90.00, real_DH=90.00, speed_cmd=0.00
[DEBUG J2] desired_DH=90.00, real_DH=90.00, speed_cmd=0.00
[DEBUG J2] desired_DH=90.00, real_DH=90.00, speed_cmd=0.00
[DEBUG J2] desired_DH=90.00, real_DH=90.00, speed_cmd=0.00
[DEBUG J2] desired_DH=90.00, real_DH=90.00, speed_cmd=0.00
[DEBUG J2] desired_DH=90.00, real_DH=90.00, speed_cmd=0.00
[DEBUG J2] desired_DH=90.00, real_DH=90.00, speed_cmd=0.00
[DEBUG J2] desired_DH=90.00, real_DH=90.00, speed_cmd=0.00
